enemies,n_hidden_neurons,n_population,n_generations,mutation_rate,sigma,mode,avg_gain,max_gain
[1],10,100,30,0.2,0.1,GA,21.0,100.0
[1],10,100,30,0.2,0.1,ES,-32.44,38.0
[2],10,100,30,0.2,0.1,GA,59.52,84.0
[2],10,100,30,0.2,0.1,ES,81.84,84.0
[3],10,100,30,0.2,0.1,GA,7.68,76.0
[3],10,100,30,0.2,0.1,ES,18.84,44.0
[4],10,100,30,0.2,0.1,GA,-47.33199999999999,8.200000000000232
[4],10,100,30,0.2,0.1,ES,-61.187999999999995,15.400000000000228
[5],10,100,30,0.2,0.1,GA,80.94000000000013,97.00000000000003
[5],10,100,30,0.2,0.1,ES,85.72000000000011,92.80000000000007
[6],10,100,30,0.2,0.1,GA,-29.9,-10.0
[6],10,100,30,0.2,0.1,ES,-70.0,-70.0
[7],10,100,30,0.2,0.1,GA,59.26800000000007,91.60000000000008
[7],10,100,30,0.2,0.1,ES,48.36400000000032,52.600000000000314
[8],10,100,30,0.2,0.1,GA,26.738000000000238,68.2000000000003
[8],10,100,30,0.2,0.1,ES,51.2320000000003,62.80000000000034
